company_id,company
1,Transit Administrative Center Inc
2,Medallion Leasin
3,City Service
4,Sun Taxi
5,5 Star Taxi
6,Flash Cab
7,Taxicab Insurance Agency Llc
8,Globe Taxi
9,Chicago Independents
10,Blue Ribbon Taxi Association
11,Tac - Yellow Cab Association
12,Chicago City Taxi Association
13,Taxicab Insurance Agency  LLC
14,312 Medallion Management Corp
15,Wolley Taxi
16,Star North Taxi Management Llc
17,Choice Taxi Association Inc
18,Tac - Checker Cab Dispatch
19,Setare Inc
20,Top Cab
21,Patriot Taxi Dba Peace Taxi Associat
22,4053 - 40193 Adwar H. Nikola
23,Koam Taxi Association
24,Chicago Taxicab
25,Tac - Blue Diamond Dispatch
26,Tac - Yellow Non Color
27,2733 - 74600 Benny Jona
28,Tac - American United Dispatch
29,U Taxicab
30,3556 - 36214 RC Andrews Cab
31,5167 - 71969 5167 Taxi Inc
